exposure,primary_theme,ticker,name,turnover,candidate_rank,selected,review_status,review_notes
CSI 300,Broad Market,510300,沪深300ETF华泰柏瑞,4537384315.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
CSI 300,Broad Market,159919,沪深300ETF嘉实,1069426409.344,2.0,False,PENDING,
CSI 300,Broad Market,510310,沪深300ETF易方达,847590459.0,3.0,False,PENDING,
CSI 300,Broad Market,510330,沪深300ETF华夏,499360040.0,4.0,False,PENDING,
CSI 300,Broad Market,159300,沪深300ETF富国,399838341.9,5.0,False,PENDING,
CSI 500,Broad Market,510500,中证500ETF南方,5108268367.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
CSI 500,Broad Market,159922,中证500ETF嘉实,860817494.048,2.0,False,PENDING,
CSI 500,Broad Market,512500,中证500ETF华夏,628415499.0,3.0,False,PENDING,
CSI 500,Broad Market,510580,中证500ETF易方达,290432148.0,4.0,False,PENDING,
CSI 500,Broad Market,510510,中证500ETF广发,78449669.0,5.0,False,PENDING,
CSI 1000,Broad Market,512100,中证1000ETF南方,4762263538.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
CSI 1000,Broad Market,159845,中证1000ETF华夏,3790686106.077,2.0,False,PENDING,
CSI 1000,Broad Market,560010,中证1000ETF广发,1064160326.0,3.0,False,PENDING,
CSI 1000,Broad Market,159633,中证1000ETF易方达,1042332753.331,4.0,False,PENDING,
CSI 1000,Broad Market,159629,中证1000ETF富国,411772907.767,5.0,False,PENDING,
ChiNext,Broad Market,159915,创业板ETF易方达,5537244233.11,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
ChiNext,Broad Market,159949,创业板50ETF华安,2005151882.265,2.0,False,PENDING,
ChiNext,Broad Market,159363,创业板人工智能ETF华宝,1372012058.051,3.0,False,PENDING,
ChiNext,Broad Market,159967,创业板成长ETF华夏,1001689198.75,4.0,False,PENDING,
ChiNext,Broad Market,159381,创业板人工智能ETF华夏,545397442.2,5.0,False,PENDING,
STAR 50,Broad Market,588000,科创50ETF华夏,7085678088.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
STAR 50,Broad Market,588080,科创50ETF易方达,2253190983.0,2.0,False,PENDING,
STAR 50,Broad Market,588060,科创50ETF广发,534812927.0,3.0,False,PENDING,
STAR 50,Broad Market,588050,科创50ETF工银,471463108.0,4.0,False,PENDING,
STAR 50,Broad Market,588090,科创50ETF华泰柏瑞,218982024.0,5.0,False,PENDING,
Artificial Intelligence,Technology,159363,创业板人工智能ETF华宝,1372012058.051,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Artificial Intelligence,Technology,159819,人工智能ETF易方达,680601422.875,2.0,False,PENDING,
Artificial Intelligence,Technology,159381,创业板人工智能ETF华夏,545397442.2,3.0,False,PENDING,
Artificial Intelligence,Technology,159382,创业板人工智能ETF南方,527187377.84,4.0,False,PENDING,
Artificial Intelligence,Technology,515980,人工智能ETF华富,423084483.0,5.0,False,PENDING,
Communication,Technology,515880,通信ETF国泰,3121516146.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Communication,Technology,159131,港股通信息技术ETF华宝,2147284492.5,2.0,False,REJECTED,Cross-border exposure excluded from domestic ETF universe
Communication,Technology,515050,通信ETF华夏,1356397758.0,3.0,False,PENDING,
Communication,Technology,526000,港股通信息技术ETF华夏,715003150.0,4.0,False,REJECTED,Cross-border exposure excluded from domestic ETF universe
Communication,Technology,159196,港股通信息技术ETF易方达,527884942.7,5.0,False,REJECTED,Cross-border exposure excluded from domestic ETF universe
Semiconductor,Technology,513310,中韩半导体ETF华泰柏瑞,8015771338.0,1.0,False,REJECTED,Cross-border exposure excluded from domestic ETF universe
Semiconductor,Technology,159516,半导体设备ETF国泰,6709754485.757,2.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Semiconductor,Technology,588170,科创半导体ETF华夏,6136260547.0,3.0,False,PENDING,
Semiconductor,Technology,588200,科创芯片ETF嘉实,5644370929.0,4.0,False,PENDING,
Semiconductor,Technology,159558,半导体设备ETF易方达,2380833736.744,5.0,False,PENDING,
Robot,Technology,159530,机器人ETF易方达,1145083791.478,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Robot,Technology,562500,机器人ETF华夏,881690793.0,2.0,False,PENDING,
Robot,Technology,159272,机器人ETF富国,384338577.506,3.0,False,PENDING,
Robot,Technology,159770,机器人ETF天弘,216469900.925,4.0,False,PENDING,
Robot,Technology,159278,机器人ETF鹏华,199600272.4,5.0,False,PENDING,
Computer,Technology,159998,计算机ETF天弘,148096905.2,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Computer,Technology,512720,计算机ETF国泰,36430402.0,2.0,False,PENDING,
Computer,Technology,159586,计算机ETF南方,13461491.4,3.0,False,PENDING,
Gold,Commodity Cyclical,518880,黄金ETF华安,1543384107.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Gold,Commodity Cyclical,518800,黄金ETF国泰,436559305.0,2.0,False,PENDING,
Gold,Commodity Cyclical,159934,黄金ETF易方达,398314743.846,3.0,False,PENDING,
Gold,Commodity Cyclical,159937,黄金ETF博时,347071937.9,4.0,False,PENDING,
Gold,Commodity Cyclical,517520,黄金股ETF永赢,221740289.0,5.0,False,PENDING,
Nonferrous Metals,Commodity Cyclical,512400,有色金属ETF南方,576684767.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Nonferrous Metals,Commodity Cyclical,560860,工业有色ETF万家,244809138.0,2.0,False,PENDING,
Nonferrous Metals,Commodity Cyclical,159980,有色ETF大成,158280539.2,3.0,False,PENDING,
Nonferrous Metals,Commodity Cyclical,516650,有色金属ETF华夏,135890095.0,4.0,False,PENDING,
Nonferrous Metals,Commodity Cyclical,159652,有色ETF汇添富,131522131.996,5.0,False,PENDING,
Rare Earth,Commodity Cyclical,516150,稀土ETF嘉实,191799771.0,1.0,True,APPROVED,Automatically selected after duplicate and exposure checks
Rare Earth,Commodity Cyclical,159713,稀土ETF富国,107169351.059,2.0,False,PENDING,
Rare Earth,Commodity Cyclical,516780,稀土ETF华泰柏瑞,102350555.0,3.0,False,PENDING,
